id,category_id,subcategory_id,name,slug,sku,description,category_slug,price,image,image_2,image_3,image_4,image_5,created_at,updated_at
"2,3,1,""4mm Coroplast"",""4mm-coroplast"",SKU-AYEF84OQ,Coroplast signs are durable and a great option for outdoor signage. 4mm signs are typically used as yard signs.,large-format,5.75,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"3,3,1,""6mm Coroplast"",""6mm-coroplast"",SKU-TMETPGR4,Coroplast signs are durable and a great option for outdoor signage. 6mm signs are typically used as outdoor signage,large-format,10,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"4,3,1,""8mm Coroplast"",""8mm-coroplast"",SKU-RBY6ANCN,""Coroplast signs are durable and a great option for outdoor signage. 8mm signs are thicker, more durable and are typically used as real estate “For sale” signs"",large-format,10.75,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"5,3,1,""10mm Coroplast"",""10mm-coroplast"",SKU-UJ9RLZK3,""Now you can print extra-thick corrugated plastic signs that are perfect for heavy duty outdoor use. They’re great for real estate signage, advertising, and more."",large-format,11.99,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"6,3,2,Floor Graphics,floor-graphics-1,SKU-KKEQVWYL,""Print vinyl floor graphics that are removable, safe, and long-lasting. Scratch-resistant and non-slip Adheres to floors, walls, windows, and more Made from semi-rigid vinyl with matte vinyl laminate "",large-format,23.25,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"7,3,2,Directional Floor Graphics,directional-floor-graphics,SKU-R8MFZHC0,""Directional floor graphics, great for business, has symbols arrows, and words!"",large-format,31,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"8,3,,Foam Board,foam-board,SKU-WIMBYTLJ,Foam board is a lightweight sign that is ideal for the indoors.,large-format,9.35,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"9,3,,Aluminum Signs,aluminum-signs,SKU-HLOJU20O,Print custom metal signage for the outdoors on this durable aluminum with a matte surface for reducing glare. Pre-painted bright white front and bare aluminum (mill finish) back Optional rounded corners for added safety Optional drill holes for easy installing,large-format,9.25,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"10,3,3,Matte Vinyl Banners,matte-banners,SKU-YMAUS4GC,""With a finish that softens strong glare, Matte Vinyl Banners are perfect under sunlight and bright lighting."",large-format,3.2,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"11,3,3,Glossy Vinyl Banners,glossy-banners,SKU-VIY70YXG,""Vinyl banners are a cost-effective, portable way of communicating your message in a big way. Glossy vinyl scrim banners have a shiny finish."",large-format,3.2,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"12,3,3,Mesh Banners,mesh-banners,SKU-NGBM38VO,""Mesh banners are great for outdoor use, even in areas that are windy or wet. Air passes through the mesh material easily so that your customers can communicate their message no matter the weather."",large-format,4.1,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
"13,3,3,""13oz Matte Vinyl – Black Base Pull-up Banner"",""13oz-matte-vinyl–black-base-pull-up-banner"",SKU-WOC92QLW,Retractable banners help your customer display their message in high-traffic areas.,large-format,95.95,"""","""","""","""","""",""2024-09-16 15:57:33"",""2024-09-16 15:57:33"""
